,id,node_id,monitor_item,monitor_value,monitor_time
6267,1608303,29,wind_dir,7.0,2018-12-18 19:28:18
6268,1608304,29,wind_speed,0.0,2018-12-18 19:28:18
6269,1608305,29,wind-dir-v,157.0,2018-12-18 19:28:18
6270,1608306,29,air-temp,10.7,2018-12-18 19:28:18
6271,1608307,29,humidity,69.8,2018-12-18 19:28:18
6272,1608308,75714124,disps,-7.107,2018-12-18 19:30:44
6273,1608309,75714126,disps,-11.212,2018-12-18 19:30:55
6274,1608310,75714127,disps,-11.666,2018-12-18 19:30:58
6275,1608311,29,air-temp,10.7,2018-12-18 19:28:18
6276,1608312,29,humidity,69.8,2018-12-18 19:28:18
6277,1608313,29,wind_speed,0.0,2018-12-18 19:28:18
6278,1608314,29,wind-dir-v,157.0,2018-12-18 19:28:18
6279,1608315,29,wind_dir,7.0,2018-12-18 19:28:18
6280,1608316,29,air-temp,10.7,2018-12-18 19:28:18
6281,1608317,29,wind_dir,7.0,2018-12-18 19:28:18
6282,1608318,29,humidity,69.8,2018-12-18 19:28:18
6283,1608319,29,wind_speed,0.0,2018-12-18 19:28:18
6284,1608320,29,wind-dir-v,157.0,2018-12-18 19:28:18
6285,1608321,29,wind_speed,0.0,2018-12-18 19:33:18
6286,1608322,29,humidity,68.8,2018-12-18 19:33:18
6287,1608323,29,wind_dir,8.0,2018-12-18 19:33:18
6288,1608324,29,air-temp,10.9,2018-12-18 19:33:18
6289,1608325,29,wind-dir-v,172.0,2018-12-18 19:33:18
6290,1608326,75714124,disps,-7.108,2018-12-18 19:35:45
6291,1608327,75714126,disps,-11.215,2018-12-18 19:35:59
6292,1608328,75714127,disps,-11.679,2018-12-18 19:36:02
6293,1608329,29,humidity,68.8,2018-12-18 19:33:18
6294,1608330,29,wind_dir,8.0,2018-12-18 19:33:18
6295,1608331,29,wind_speed,0.0,2018-12-18 19:33:18
6296,1608332,29,wind-dir-v,172.0,2018-12-18 19:33:18
6297,1608333,29,air-temp,10.9,2018-12-18 19:33:18
6298,1608334,29,wind-dir-v,172.0,2018-12-18 19:33:18
6299,1608335,29,wind_speed,0.0,2018-12-18 19:33:18
6300,1608336,29,wind_dir,8.0,2018-12-18 19:33:18
6301,1608337,29,humidity,68.8,2018-12-18 19:33:18
6302,1608338,29,air-temp,10.9,2018-12-18 19:33:18
6303,1608339,29,wind_speed,0.0,2018-12-18 19:38:18
6304,1608340,29,wind_dir,7.0,2018-12-18 19:38:18
6305,1608341,29,wind-dir-v,162.0,2018-12-18 19:38:18
6306,1608342,29,humidity,69.0,2018-12-18 19:38:18
6307,1608343,29,air-temp,10.9,2018-12-18 19:38:18
6308,1608344,75714124,disps,-7.107,2018-12-18 19:40:47
6309,1608345,75714126,disps,-11.2,2018-12-18 19:41:01
6310,1608346,75714127,disps,-11.68,2018-12-18 19:41:04
6311,1608347,29,air-temp,10.9,2018-12-18 19:38:18
6312,1608348,29,wind_speed,0.0,2018-12-18 19:38:18
6313,1608349,29,humidity,69.0,2018-12-18 19:38:18
6314,1608350,29,wind_dir,7.0,2018-12-18 19:38:18
6315,1608351,29,wind-dir-v,162.0,2018-12-18 19:38:18
6316,1608352,29,air-temp,10.9,2018-12-18 19:38:18
6317,1608353,29,wind_speed,0.0,2018-12-18 19:38:18
6318,1608354,29,humidity,69.0,2018-12-18 19:38:18
6319,1608355,29,wind-dir-v,162.0,2018-12-18 19:38:18
6320,1608356,29,wind_dir,7.0,2018-12-18 19:38:18
6321,1608357,29,wind-dir-v,236.0,2018-12-18 19:43:18
6322,1608358,29,air-temp,10.8,2018-12-18 19:43:18
6323,1608359,29,humidity,69.0,2018-12-18 19:43:18
6324,1608360,29,wind_dir,10.0,2018-12-18 19:43:18
6325,1608361,29,wind_speed,0.0,2018-12-18 19:43:18
6326,1608362,75714126,disps,-11.2,2018-12-18 19:46:00
6327,1608363,75714127,disps,-11.683,2018-12-18 19:46:03
6328,1608364,75714124,disps,-7.108,2018-12-18 19:46:26
6329,1608365,16,S,-1.816,2018-12-18 19:00:00
6330,1608366,16,temp,10.3,2018-12-18 19:00:00
6331,1608367,17,temp,10.3,2018-12-18 19:00:00
6332,1608368,17,S,-0.421,2018-12-18 19:00:00
6333,1608369,18,S,49.145,2018-12-18 19:00:00
6334,1608370,18,temp,10.3,2018-12-18 19:00:00
6335,1608371,19,S,-50.359,2018-12-18 19:00:00
6336,1608372,19,temp,10.3,2018-12-18 19:00:00
